Tag No,Cost,Fund Source,Report Number,Report Date
000001,1500.0,CSE Dept,,
000002,1200.0,CSE Dept,,
000003,500.0,Research,,
000004,2000.0,CSE Dept,,
000005,1400.0,Research,,
000006,1900.0,CSE Dept,2018-000-6789,2018-01-10
000007,300.0,CSE Dept,,
000008,1000.0,Research,,
000009,1200.0,CSE Dept,,
000010,2000.0,L3 Grant,,
000011,1800.0,CSE Dept,,
000012,1200.0,LM Grant,,
000013,300.0,CSE Dept,,
000014,1100.0,CSE Dept,,
000015,900.0,COE Funds,,
000016,1700.0,CSE Dept,,
000017,1300.0,COE Funds,2018-000-1234,2018-02-02
000018,400.0,CSE Dept,,
000019,1200.0,COE Funds,,
000020,300.0,CSE Dept,,
