Tag No.,Serial No,Description,Type,Custodian ID,Acquisition Date,Building,Room,Status
000001,zDb344pk,Black Lenovo 15 inch laptop. 2.4 ghz,Laptop,1000000005,2018-01-26,ERB,100,Active
000002,u3VlA803,"Dell desktop computer, 3.2 ghz",Desktop,1000000011,2018-02-14,NH,222,Active
000003,321nST22,"iPad 2 16gb, white",Tablet/iPad,1000000013,2018-01-01,ERB,300,Missing(Hold for Deletion)
000004,800IuHCS,MacBook Pro 14 inch 2.4 ghz,Laptop,1000000003,2018-01-04,ERB,131,Active
000005,OP7y2aRL,Black Lenovo 15 inch laptop. 2.4 ghz,Laptop,1000000019,2017-11-24,NH,533,Active
000006,IuV372b1,Acer Inspire laptop 2.8 ghz,Laptop,1000000015,2017-12-22,ERB,111,Missing(Stolen)
000007,Kj109Tt4,"iPad 1, white",Tablet,1000000013,2018-02-04,ERB,234,Surplus
000008,H76zQ6m0,"Dell desktop computer, 2.6 ghz, 8 gigs of ram",Desktop,1000000002,2017-10-30,ERB,641,Active
000009,1123Fn94,Acer Inspire Laptop 2.8 ghz,Laptop,1000000010,2017-11-11,ELB,211,Active
000010,36BsUI58,IBM Laptop 14 inch 2.2 ghz,Laptop,1000000009,2017-05-11,ERB,622,Surplus
000011,78JiX0vC,White MacBook 4.2 ghz,Laptop,1000000017,2018-01-20,NH,432,Active
000012,YE23vMiK,"HP Desktop computer, 2.0  ghz 12 gb of ram",Desktop,1000000001,2017-09-27,ERB,331,Active
000013,03bDE48N,Canon 13MP black,Camera,1000000007,2017-12-25,ERB,542,Active
000014,J9f72aDo,"HP Desktop, 3.2 ghz",Desktop,1000000005,2017-01-15,ERB,333,Surplus
000015,I31nmS0L,Lenovo Thinkpad 14 inch tablet,Tablet,1000000010,2017-10-25,NH,124,Active
000016,8lmAq6kP,"HP 13 inch laptop, 3.0 ghz",Laptop,1000000020,2018-02-10,ERB,432,Active
000017,Ka73Hu9s,"Lenovo Desktop Computer, 2.8 ghz",Desktop,1000000018,2017-11-19,ERB,601,Missing(Stolen)
000018,P05kN4bQ,"iPad 2, White",Tablet,1000000008,2017-12-05,ERB,543,Active
000019,266naFt0,"Dell 15 inch laptop, black",desktop,1000000012,,ERB,360,Missing(Hold for Deletion)
000020,L3nA47ls,Minolta 15MP white,Camera,1000000015,2018-01-19,ERB,650,Active
